"MONTHLY2","","","","","","","","","","","","","","","","","","","","",""
"","","BATTERY ELECTRIC","","","PLUG-IN HYBRID","","","HYBRID ELECTRIC1","","","OTHERS2","","","PETROL","","","DIESEL","","","TOTAL",""
"","September","September","% change","September","September","% change","September","September","% change","September","September","% change","September","September","% change","September","September","% change","September","September","% change"
"","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23"
"Austria","4,421","4,256","+3.9","1,279","1,531","-16.5","5,078","4,469","+13.6","0","5","-100.0","6,106","5,976","+2.2","3,010","3,603","-16.5","19,894","19,840","+0.3"
"Belgium","12,142","9,146","+32.8","3,566","8,651","-58.8","2,875","2,792","+3.0","220","154","+42.9","11,775","15,166","-22.4","1,098","2,997","-63.4","31,676","38,906","-18.6"
"Bulgaria","103","159","-35.2","27","47","-42.6","86","68","+26.5","0","0","","1,870","2,363","-20.9","436","328","+32.9","2,522","2,965","-14.9"
"Croatia","219","98","+123.5","105","112","-6.3","1,306","936","+39.5","90","146","-38.4","1,829","1,764","+3.7","648","678","-4.4","4,197","3,734","+12.4"
"Cyprus","200","99","+102.0","59","44","+34.1","498","642","-22.4","0","0","","566","715","-20.8","18","25","-28.0","1,341","1,525","-12.1"
"Czechia","1,462","582","+151.2","318","372","-14.5","3,878","3,322","+16.7","260","245","+6.1","8,475","9,100","-6.9","3,849","3,587","+7.3","18,242","17,208","+6.0"
"Denmark","8,900","6,357","+40.0","611","1,282","-52.3","2,565","2,114","+21.3","0","0","","2,738","4,634","-40.9","751","494","+52.0","15,565","14,881","+4.6"
"Estonia","107","141","-24.1","130","52","+150.0","1,000","742","+34.8","4","1","300.0","535","652","-17.9","349","145","+140.7","2,125","1,733","+22.6"
"Finland","1,841","3,002","-38.7","1,041","1,417","-26.5","942","1,741","-45.9","5","33","-84.8","617","985","-37.4","155","305","-49.2","4,601","7,483","-38.5"
"France","28,266","30,173","-6.3","10,077","15,699","-35.8","53,169","38,461","+38.2","3,381","5,785","-41.6","36,047","52,915","-31.9","8,062","13,270","-39.2","139,002","156,303","-11.1"
"Germany","34,479","31,714","+8.7","14,936","15,383","-2.9","60,497","57,795","+4.7","812","731","+11.1","67,009","78,979","-15.2","31,115","39,900","-22.0","208,848","224,502","-7.0"
"Greece","865","755","+14.6","734","1,090","-32.7","4,503","3,318","+35.7","472","348","+35.6","2,773","4,585","-39.5","314","1,305","-75.9","9,661","11,401","-15.3"
"Hungary","777","448","+73.4","219","448","-51.1","3,967","4,186","-5.2","25","29","-13.8","2,775","3,019","-8.1","1,311","992","+32.2","9,074","9,122","-0.5"
"Ireland","1,006","1,460","-31.1","669","690","-3.0","1,204","948","+27.0","0","0","","1,140","1,449","-21.3","1,105","1,180","-6.4","5,124","5,727","-10.5"
"Italy","6,422","4,941","+30.0","4,102","5,422","-24.3","53,264","53,780","-1.0","11,302","11,006","+2.7","31,072","40,503","-23.3","15,563","20,703","-24.8","121,725","136,355","-10.7"
"Latvia","124","176","-29.5","96","31","+209.7","515","368","+39.9","33","19","+73.7","433","635","-31.8","208","196","+6.1","1,409","1,425","-1.1"
"Lithuania","187","181","+3.3","168","100","+68.0","1,300","973","+33.6","35","39","-10.3","522","744","-29.8","369","218","+69.3","2,581","2,255","+14.5"
"Luxembourg","1,116","1,009","+10.6","279","404","-30.9","853","853","+0.0","0","0","","973","1,157","-15.9","399","456","-12.5","3,620","3,879","-6.7"
"Malta","152","126","+20.6","56","46","+21.7","106","67","+58.2","0","0","","218","123","+77.2","49","12","+308.3","581","374","+55.3"
"Netherlands","12,461","10,332","+20.6","3,667","3,664","+0.1","8,603","7,803","+10.3","129","216","-40.3","6,120","7,500","-18.4","255","211","+20.9","31,235","29,726","+5.1"
"Poland","1,506","1,273","+18.3","1,014","943","+7.5","18,298","17,203","+6.4","1,136","810","+40.2","15,993","15,212","+5.1","3,514","3,637","-3.4","41,461","39,078","+6.1"
"Portugal","4,053","2,816","+43.9","2,192","2,454","-10.7","2,744","1,899","+44.5","1,242","1,252","-0.8","3,698","3,926","-5.8","1,124","1,730","-35.0","15,053","14,077","+6.9"
"Romania","501","1,147","-56.3","-","-","","3,849","3,527","+9.1","1,003","1,188","-15.6","2,958","3,609","-18.0","664","1,074","-38.2","8,975","10,545","-14.9"
"Slovakia","164","229","-28.4","176","410","-57.1","2,065","1,893","+9.1","101","108","-6.5","3,156","3,272","-3.5","1,659","2,028","-18.2","7,321","7,940","-7.8"
"Slovenia","364","350","+4.0","112","109","+2.8","427","682","-37.4","171","42","+307.1","2,704","2,271","+19.1","683","597","+14.4","4,461","4,051","+10.1"
"Spain","6,329","3,726","+69.9","4,063","4,931","-17.6","29,905","23,580","+26.8","2,906","1,705","+70.4","23,484","26,287","-10.7","6,457","8,574","-24.7","73,144","68,803","+6.3"
"Sweden","11,535","12,500","-7.7","5,193","5,337","-2.7","2,227","1,945","+14.5","308","596","-48.3","5,219","5,602","-6.8","1,243","2,155","-42.3","25,725","28,135","-8.6"
"EUROPEAN UNION","139,702","127,196","+9.8","54,889","70,669","-22.3","265,724","236,107","+12.5","23,635","24,458","-3.4","240,805","293,143","-17.9","84,408","110,400","-23.5","809,163","861,973","-6.1"
"Iceland","299","751","-60.2","96","166","-42.2","93","113","-17.7","1","1","+0.0","22","45","-51.1","49","58","-15.5","560","1,134","-50.6"
"Norway","12,495","9,000","+38.8","146","617","-76.3","142","442","-67.9","0","0","","48","93","-48.4","135","190","-28.9","12,966","10,342","+25.4"
"Switzerland","4,560","5,133","-11.2","1,704","2,086","-18.3","6,972","5,787","+20.5","4","1","+300.0","5,232","6,747","-22.5","1,683","1,824","-7.7","20,155","21,578","-6.6"
"EFTA","17,354","14,884","+16.6","1,946","2,869","-32.2","7,207","6,342","+13.6","5","2","+150.0","5,302","6,885","-23.0","1,867","2,072","-9.9","33,681","33,054","+1.9"
"United Kingdom","56,387","45,323","+24.4","24,486","18,535","+32.1","104,237","93,393","+11.6","0","0","","83,100","105,463","-21.2","7,029","9,896","-29.0","275,239","272,610","+1.0"
