"YEAR TO DATE3","","","","","","","","","","","","","","","","","","","","","",""
"","","","BATTERY ELECTRIC","","","PLUG-IN HYBRID","","","HYBRID ELECTRIC1","","","OTHERS2","","","PETROL","","","DIESEL","","","TOTAL",""
"","","Jan-Sep","Jan-Sep","% change","Jan-Sep","Jan-Sep","% change","Jan-Sep","Jan-Sep","% change","Jan-Sep","Jan-Sep","% change","Jan-Sep","Jan-Sep","% change","Jan-Sep","Jan-Sep","% change","Jan-Sep","Jan-Sep","% change"
"","","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23","2024","2023","24/23"
"","Austria","32,632","34,894","-6.5","12,491","13,085","-4.5","46,141","38,383","+20.2","13","20","-35.0","64,624","60,044","+7.6","35,122","36,460","-3.7","191,023","182,886","+4.4"
"","Belgium","96,279","68,696","+40.2","57,059","76,660","-25.6","32,358","27,786","+16.5","2,659","2,862","-7.1","150,055","163,788","-8.4","18,158","35,056","-48.2","356,568","374,848","-4.9"
"","Bulgaria","1,249","1,402","-10.9","361","251","+43.8","721","521","+38.4","0","1","-100.0","24,368","20,779","+17.3","5,694","4,411","+29.1","32,393","27,365","+18.4"
"","Croatia","1,483","1,295","+14.5","1,038","729","+42.4","13,461","10,169","+32.4","1,011","1,314","-23.1","25,502","23,874","+6.8","10,253","9,720","+5.5","52,748","47,101","+12.0"
"","Cyprus","852","557","+53.0","500","347","+44.1","5,286","4,259","+24.1","0","0","","5,373","6,056","-11.3","293","369","-20.6","12,304","11,588","+6.2"
"","Czechia","7,225","4,652","+55.3","3,717","3,785","-1.8","36,692","29,402","+24.8","3,410","2,903","+17.5","82,591","88,265","-6.4","38,362","38,555","-0.5","171,997","167,562","+2.6"
"","Denmark","60,845","40,797","+49.1","5,258","12,865","-59.1","22,778","22,726","+0.2","0","1","-100.0","32,236","41,773","-22.8","5,181","5,818","-10.9","126,298","123,980","+1.9"
"","Estonia","982","1,028","-4.5","724","423","+71.2","7,091","6,760","+4.9","128","47","+172.3","4,396","7,071","-37.8","2,506","2,125","+17.9","15,827","17,454","-9.3"
"","Finland","15,643","22,817","-31.4","11,148","13,649","-18.3","17,705","17,973","-1.5","146","389","-62.5","8,109","10,534","-23.0","2,749","3,216","-14.5","55,500","68,578","-19.1"
"","France","216,841","204,616","+6.0","99,100","116,446","-14.9","412,705","303,617","+35.9","47,196","52,063","-9.3","394,264","482,010","-18.2","95,796","129,872","-26.2","1,265,902","1,288,624","-1.8"
"","Germany","276,390","387,289","-28.6","132,861","123,345","+7.7","545,301","490,855","+11.1","10,975","11,364","-3.4","770,999","750,386","+2.7","379,548","374,827","+1.3","2,116,074","2,138,066","-1.0"
